event_uid,internal_id,platform,source_event_id,id_scheme,acct,season,item,school_host,event_name,opponent,event_date,event_time,venue,lines_latest_0821,latest_pulled_at,in_scans
a410740f-e250-5934-b2ce-636cc2ea7e29,,paciolan,260:NFB26:FB01,paciolan:acct:season:item,260,NFB26,FB01,nautickets.evenue.net,NAU Football 2026 (260:NFB26:FB01),Football vs Eastern Washington,2026-08-29,14:00,Walkup Skydome,521,2026-08-19T11:25:28Z,blocks_0821_latest
a63a6cbe-5fcb-5bcc-a5f5-4b5249ad8ed4,,paciolan,233:F26:F01,paciolan:acct:season:item,233,F26,F01,godeacs.evenue.net,Football 2026 (233:F26:F01),Akron,2026-09-03,19:00,Allegacy Stadium,158,2026-08-19T11:14:37Z,blocks_0821_latest
a9954b59-3710-57a4-9a9a-6b7072889e11,,paciolan,521:FB27:FB01,paciolan:acct:season:item,521,FB27,FB01,arizonawildcats.evenue.net,Football 2026-27 (521:FB27:FB01),Northern Arizona,2026-09-05,18:30,Casino Del Sol Stadium,1294,2026-08-13T16:11:33Z,blocks_0819_all|blocks_0819_latest|blocks_0821_latest
bb3df2d1-05f0-5026-ae90-1ee1b87fb0f7,,paciolan,158:F26:FB01,paciolan:acct:season:item,158,F26,FB01,csurams.evenue.net,2026 Athletic Year (158:F26:FB01),Football vs. Wyoming,2026-09-05,16:00,Canvas Stadium,586,2026-08-13T16:52:40Z,blocks_0819_all|blocks_0819_latest|blocks_0821_latest
21a235df-6c6a-5769-ad1d-f5d14bdbda3b,,paciolan,431:F26:F01,paciolan:acct:season:item,431,F26,F01,hawkeyesports.evenue.net,2026 Football (431:F26:F01),NIU,2026-09-05,15:15,Kinnick Stadium,63,2026-08-19T11:32:31Z,blocks_0821_latest
f30e52de-3dce-5648-ad29-093d91e67d59,,paciolan,457:F26:01,paciolan:acct:season:item,457,F26,01,hokiesports.evenue.net,Football 2026 (457:F26:01),VMI,2026-09-05,19:30,Lane Stadium,120,2026-08-19T11:12:12Z,blocks_0819_all|blocks_0819_latest|blocks_0821_latest|diff_lasttwo
43c30bf2-84a2-5ace-a9f1-eae6442749ba,,paciolan,126:F26:01,paciolan:acct:season:item,126,F26,01,huskers.evenue.net,2026 Football (126:F26:01),Ohio,2026-09-05,11:00,Memorial Stadium,456,2026-08-19T11:27:06Z,blocks_0821_latest
aecc6b04-f01c-536c-8051-bd41fb63a615,,paciolan,187:FB26:F01,paciolan:acct:season:item,187,FB26,F01,kstatesports.evenue.net,Football 2026 (187:FB26:F01),K-State Football vs. Nicholls,2026-09-05,18:00,Bill Snyder Family Stadium,226,2026-08-19T11:12:37Z,blocks_0819_all|blocks_0819_latest|blocks_0821_latest|diff_lasttwo
8f300e62-5348-539e-ad7a-7147af1df536,,paciolan,245:F26:F01,paciolan:acct:season:item,245,F26,F01,pittsburghpanthers.evenue.net,2026 Pitt Football Season (245:F26:F01),Miami (OH),2026-09-05,12:30,Acrisure Stadium,1375,2026-08-19T11:23:15Z,blocks_0821_latest
f326d3b4-2fdd-5a7b-992b-1bdfc5feb5ae,,paciolan,467:F26:F01,paciolan:acct:season:item,467,F26,F01,sfajacks.evenue.net,2026 Football (467:F26:F01),Football vs East Texas A&M,2026-09-05,19:00,Homer Bryce Stadium,249,2026-08-19T11:12:28Z,blocks_0819_all|blocks_0819_latest|blocks_0821_latest|diff_lasttwo
