source_event_id,platform,school_host,event_date,event_time,venue,opponent,aq_short_event_id,ticket_evolution,gotickets,seatgeek,stubhub,vivid_seats,tickpick,gametime,ticketmaster,sources_mapped_count
pv:21:9643173,provenue,mlb.tickets.com,2026-08-23,13:35,Citizens Bank Park,,7P63X9D,3101506,1190236,17694063,159262247,5966797,,,,5
260:NFB26:FB01,paciolan,nautickets.evenue.net,2026-08-29,14:00,Walkup Skydome,Football vs Eastern Washington,,3433351,1629863,18126596,160427467,6288282,,,,5
233:F26:F01,paciolan,godeacs.evenue.net,2026-09-03,19:00,Allegacy Stadium,Akron,,3400622,1435099,17965064,160265549,6205721,,,,5
126:F26:01,paciolan,huskers.evenue.net,2026-09-05,11:00,Memorial Stadium,Ohio,36MJPMZ,3292251,1287504,17984356,159766135,6206530,,,4809738,6
158:F26:FB01,paciolan,csurams.evenue.net,2026-09-05,16:00,Canvas Stadium,Football vs. Wyoming,,3241119,1373383,17986058,159478580,6178998,,,,5
187:FB26:F01,paciolan,kstatesports.evenue.net,2026-09-05,18:00,Bill Snyder Family Stadium,K-State Football vs. Nicholls,VYV5QZQ,3243786,1447984,18024460,160324181,6473651,,,4835726,6
245:F26:F01,paciolan,pittsburghpanthers.evenue.net,2026-09-05,12:30,Acrisure Stadium,Miami (OH),5KNGB7G,3241022,1356596,17965050,159932593,6199860,,,4811641,6
415:FB26:F01,paciolan,uconnhuskies.evenue.net,2026-09-05,12:00,Rentschler Field,Football vs. Lafayette,,3305715,1348725,18028951,159955411,6368029,,,,5
431:F26:F01,paciolan,hawkeyesports.evenue.net,2026-09-05,15:15,Kinnick Stadium,NIU,BP3KYOD,3312472,1369632,17936149,160228320,6206351,,,4785738,6
457:F26:01,paciolan,hokiesports.evenue.net,2026-09-05,19:30,Lane Stadium,VMI,Y5YDMDN,3250473,1335329,17997465,159927981,6207016,,,,5
467:F26:F01,paciolan,sfajacks.evenue.net,2026-09-05,19:00,Homer Bryce Stadium,Football vs East Texas A&M,,,1535536,18012988,160425521,6498326,,,,4
521:FB27:FB01,paciolan,arizonawildcats.evenue.net,2026-09-05,18:30,Casino Del Sol Stadium,Northern Arizona,NZ59BD2,3330200,1464879,18024316,160324613,6185528,,,4827175,6
912:FB26:FB01,paciolan,usajaguars.evenue.net,2026-09-05,18:00,Hancock Whitney Stadium,Football vs Southeastern Louisiana,,3411070,1526776,18127621,160324460,6482923,,,,5
977:F26:02,paciolan,kuathletics.evenue.net,2026-09-11,19:00,David Booth Kansas Memorial Stadium,Missouri,,3230772,1376586,18024445,160324383,6369854,,,,5
