axs_name,tevo_venue_id
118 North,49353
713 Music Hall,40827
Acrisure Amphitheater,61162
Acrisure Stadium,1567
Addition Financial Arena,4170
Ahmanson Theatre,16
Aisle 5,33367
Alamodome,22
Allegiant Stadium,36209
Allianz Amphitheater at Riverfront,52382
Allianz Field,34053
Allstate Arena,33
Amerant Bank Arena,1085
America First Field,5867
American Airlines Center,1947
American Family Field,1913
Ameris Bank Amphitheatre,5261
Andrew J Brady ICON Music Center,39376
Appalachian Wireless Arena,3694
Arizona Financial Theatre,7648
Arlington Theatre,64
Arthur Ashe Stadium,68
Arts at the Armory,26959
Astor Place Theatre,76
AT&T Stadium,5994
Atlanta Symphony Hall,1524
Audi Field,33655
Autzen Stadium,2058
AVA Amphitheater,2321
Ball Arena,1219
Bank of America Stadium,457
Barboza,64672
Barclays Center,27950
Bass Concert Hall,118
Bass Performance Hall,119
Beer City Music Hall,42246
Bell's Eccentric Cafe,50148
Benchmark International Arena,701
Bernard B. Jacobs Theatre,1942
Bert Ogden Arena,33737
Bethel Woods Center For The Arts,4077
Biltmore Cabaret,6149
Blossom Music Center,156
Blue Federal Credit Union Arena,2847
Bluebird Theater,159
BMO Field,4523
BMO Stadium,33676
Bobby Dodd Stadium,163
BOK Center,5118
Booth Theatre,167
Bottom of the Hill,5604
Bridgestone Arena,1080
Broadhurst Theatre,185
Brooklyn Bowl - Las Vegas,30602
Brooklyn Paramount,7522
Burton Cummings Theatre,3021
Busch Stadium,200
Byline Bank Aragon Ballroom,56
Caesars Superdome,1516
Caffe Lena,39879
Canada Life Centre,3316
Canada Life Place,2521
Canadian Tire Centre,345
Capital One Arena,955
Capitol Theatre Port Chester,223
CareFirst Arena,33974
Carlson Center,228
Center Court at Lindner Family Tennis Center,85
CFG Bank Arena,103
Charles Schwab Field Omaha,7759
Chase Center,34130
Chase Field,110
Circuit Gilles-Villeneuve,2124
Circuit of The Americas,28964
Citi Field,5724
Citizens Bank Park,2877
Citizens Live at The Wylie,65936
Climate Pledge Arena,781
Club Dada,32057
Cobb Energy Performing Arts Centre,5012
Coca-Cola Coliseum,2804
Coca-Cola Roxy,33488
College Park Center,18876
Columbus Civic Center,315
Comerica Park,1782
Commodore Ballroom,1945
Coors Field,339
Crescent Ballroom - Phoenix,28863
Crypto.com Arena,1480
Daikin Park,454
Daily Operation,64726
Darien Lake Amphitheater,381
Davies Symphony Hall,384
DCU Center,2172
Delta Center,399
Dickies Arena,34003
Dicks Sporting Goods Park,4537
Dodger Stadium,414
Dolby Theatre,2051
Durham Performing Arts Center,5612
Ember Music Hall,49137
Empire Live,39936
Empower Field at Mile High,1010
Energizer Park,43457
Enterprise Center,785
Estadio Santiago Bernabeu,3754
Etess Arena at Hard Rock Hotel and Casino,1610
Eugene ONeill Theatre,1839
EverBank Stadium,36
Everwise Amphitheater at White River State Park,3133
FedExForum,3123
Fenway Park,488
First Avenue,496
Fiserv Forum,33662
Fitzgerald Tennis Center,2353
Ford Amphitheater,48259
Ford Field,2199
Forest Hills Stadium,520
Fox Theatre Detroit,526
Fox Tucson Theatre,5056
Frost Bank Center,2259
Gainbridge Fieldhouse,324
Gas South Arena,617
Gasa Gasa,33307
Geodis Park,42114
Gershwin Theatre,568
GIANT Center,2379
Gillette Stadium,2236
Globe Life Field,34920
Golden 1 Center,32836
Gramercy Theatre,4533
Grand Casino Arena,1811
Grandstand Court at Lindner Family Tennis Center,33688
Great American Ball Park,284
Great Jones County Fair,3580
Greenfield Lake Amphitheater,25871
Hampton Beach Casino Ballroom,2656
Hard Rock Live Orlando,634
Hard Rock Stadium,1262
Hartford HealthCare Amphitheater,35883
Heritage Bank Center,501
High Noon Saloon,4937
Highmark Stadium,1279
Hollywood Bowl,667
HopMonk Tavern Novato,54948
House of Blues Anaheim,2074
House of Blues Orlando,681
Howard Theatre - DC,28137
Hoyt Sherman Place,687
Humphrey's Concerts by the Bay,692
Huntington Bank Field,294
Inter & Co Stadium,48292
Intuit Dome,48249
iTHINK Financial Amphitheatre,343
Jacobs Pavilion,2640
Jergel's Rhythm Grille,33536
Jiffy Lube Live,1113
John Golden Theatre,585
Jordan-Hare Stadium,760
Jorgensen Center for the Performing Arts,4985
Kaseya Center,44
Kauffman Stadium,767
KettleHouse Amphitheater,33517
KeyBank Center,1786
Kia Forum,602
Kilby Court,5375
Kyle Field,1820
Lake County Fairgrounds - IL,43003
Lambeau Field,820
Las Vegas Ballpark,33999
Lee's Palace,2882
Lena Horne Theatre,190
Lenovo Center,1278
Levi's Stadium,30589
Lincoln Financial Field,2542
Little Caesars Arena,33422
loanDepot Park,15952
Lodge Room,34600
Long Beach Amphitheater,63091
Longacre Theatre,2890
Louis Armstrong Stadium,2735
Lucas Oil Stadium,5242
Lumen Field,2246
Lunt-Fontanne Theatre,880
M&T Bank Stadium,1266
Madison Square Garden,896
Maine Savings Amphitheater,7425
Mark Taper Forum,927
Marquis Theatre - NY,929
McAllen Performing Arts Center,33981
Meadow Brook Amphitheatre,34166
MegaCorp Pavilion,39742
